30,02362,60980107274
31,02637,60440180523
32,02648,60980107258
33,02648,60980108058
36,05705,XA600057054
37,05706,60455054530
38,05707,60455054548
39,05708,60455054555
41,05711,60455055412
47,05727,60980017598
48,05733,60455065783
49,05737,60455065700
50,05752,60455046239
51,05753,60455054571
53,09357,XS003490199
54,13441,60980108421
55,13442,60440250995
56,14738,60440241556
57,20271,60440126435
59,25134,60440180366
60,25135,60440180374
61,28401,60440237067
62,28410,60440237158
63,28574,60440238958
64,28584,60440239055
65,28738,60440240657
66,28768,60440241002
67,28783,60440241572
68,28829,60440242174
69,28830,60440242182
70,33284,60455072771
71,33285,60455072995
72,33286,60455073001
73,33287,60455072383
74,33288,60455072391
75,33289,60455072854
76,33291,60455071690
77,33293,60455071716
79,4736V,60440240806
80,50193,JC320001046
81,50199,60980036499
82,51043,60980037729
83,51150,60980039808
84,55833,60980105500
85,60528,60980108066
86,60799,60980106730
87,76848,60440180580
88,81470,60980014298
89,81471,60980014306
90,82271,60980016020
91,82531,60980016582
92,85078,60980026482
93,85079,60980026490
94,85083,60980027704
95,85084,60980027712
96,85099,60980031383
97,85100,60980031391
98,85103,60980031425
99,92499,60980036168
100,92500,60980036176
101,E112,70008017298
104,28695,60440240574
105,28696,60440240178
106,28785,60440241598
107,28791,60440241705
108,28792,60440241713
109,28793,60440241721
110,28794,60440241739
111,28795,60440241747
112,28796,60440241754
113,28797,60440241762
114,28834,60440242232
115,51056,60440240319
116,77340,60980011518
120,05860,60980026391
121,05861,60980026409
122,05954,60455051726
123,05955,60410009793
124,05970,MI900101863
125,05971P,MT900168139
126,05973,60455057855
127,05974,60455057863
128,05983,60410009702
129,05988P,MT900169624
130,05990,60455071567
131,05993,MI900101871
132,05994P,MT900168162
133,05996,60455035661
134,06000,60455071575
135,06002,60980105187
136,06004P,MT900180886
137,06005,60455071518
138,06005,60440095127
139,06006,60455071989
140,06013,60980042943
141,06064,60455034904
142,06065,60455051833
143,06068,60455034938
144,06068,60455069421
145,06069,60455069439
146,06069,60455052336
147,06084,60455034847
148,06085,60455051783
150,33292,60455071708
151,36058,60455071195
152,36060,60455070106
153,36061,60455070288
154,36063,60455070502
